"","chbal_1","chbalni_1","scus_1","scust_1","scmuni_1","SCDOMO_1","idscod_1","scford_1","sceq_1","lnre_1","lnag_1","lnci_1","lncon_1","itrade_1","ifrepo_1","IDdepsam_1","DEPSMRA_1","IDdeplam_1","DEPLGRA_1","chbal_2","chbalni_2","scus_2","scust_2","scmuni_2","SCDOMO_2","idscod_2","scford_2","sceq_2","lnre_2","lnag_2","lnci_2","lncon_2","itrade_2","ifrepo_2","IDdepsam_2","DEPSMRA_2","IDdeplam_2","DEPLGRA_2","chbal_3","chbalni_3","scus_3","scust_3","scmuni_3","SCDOMO_3","idscod_3","scford_3","sceq_3","lnre_3","lnag_3","lnci_3","lncon_3","itrade_3","ifrepo_3","IDdepsam_3","DEPSMRA_3","IDdeplam_3","DEPLGRA_3","chbal_4","chbalni_4","scus_4","scust_4","scmuni_4","SCDOMO_4","idscod_4","scford_4","sceq_4","lnre_4","lnag_4","lnci_4","lncon_4","itrade_4","ifrepo_4","IDdepsam_4","DEPSMRA_4","IDdeplam_4","DEPLGRA_4","chbal_5","chbalni_5","scus_5","scust_5","scmuni_5","SCDOMO_5","idscod_5","scford_5","sceq_5","lnre_5","lnag_5","lnci_5","lncon_5","itrade_5","ifrepo_5","IDdepsam_5","DEPSMRA_5","IDdeplam_5","DEPLGRA_5","chbal_6","chbalni_6","scus_6","scust_6","scmuni_6","SCDOMO_6","idscod_6","scford_6","sceq_6","lnre_6","lnag_6","lnci_6","lncon_6","itrade_6","ifrepo_6","IDdepsam_6","DEPSMRA_6","IDdeplam_6","DEPLGRA_6","chbal_7","chbalni_7","scus_7","scust_7","scmuni_7","SCDOMO_7","idscod_7","scford_7","sceq_7","lnre_7","lnag_7","lnci_7","lncon_7","itrade_7","ifrepo_7","IDdepsam_7","DEPSMRA_7","IDdeplam_7","DEPLGRA_7","chbal_8","chbalni_8","scus_8","scust_8","scmuni_8","SCDOMO_8","idscod_8","scford_8","sceq_8","lnre_8","lnag_8","lnci_8","lncon_8","itrade_8","ifrepo_8","IDdepsam_8","DEPSMRA_8","IDdeplam_8","DEPLGRA_8","chbal_9","chbalni_9","scus_9","scust_9","scmuni_9","SCDOMO_9","idscod_9","scford_9","sceq_9","lnre_9","lnag_9","lnci_9","lncon_9","itrade_9","ifrepo_9","IDdepsam_9","DEPSMRA_9","IDdeplam_9","DEPLGRA_9","chbal_10","chbalni_10","scus_10","scust_10","scmuni_10","SCDOMO_10","idscod_10","scford_10","sceq_10","lnre_10","lnag_10","lnci_10","lncon_10","itrade_10","ifrepo_10","IDdepsam_10","DEPSMRA_10","IDdeplam_10","DEPLGRA_10"
"The Huntington National Bank",1206643,713954,9035972,4936,1876451,1479418,41926,3316,9708,22923407,79418,12911750,9260081,0,0,37879925,695026,25380685,9590,899100,581743,9454190,4998,2073910,1357236,40254,3906,9624,22781267,67045,13091609,9431607,0,0,38793669,659964,25851960,9712,1196406,828444,9779600,4998,2125965,1279250,38004,3897,9894,22981820,56229,13464728,9185955,0,0,39578303,632644,26364039,9634,1059391,619201,10283793,4991,2335308,1258976,0,3914,10145,22810552,47431,13858949,9929591,0,0,39643944,611477,27671542,9970,850017,620399,10783737,4959,2463433,1324204,0,3898,10263,22604332,52610,14326903,10226071,0,0,41943298,582089,28025312,9435,848295,597082,10889819,4992,2640505,1370384,0,3930,10432,22589117,51676,14808826,10703255,0,0,42821450,539131,28166557,9197,895472,614652,10950890,5004,2588252,1406992,0,3947,10643,22943790,51640,15101740,11231041,0,0,44161535,504108,27758409,9406,1437227,1022511,16296901,4996,3317538,1630200,10,3947,12359,29644591,66053,19750398,15479503,0,0,56591169,1379281,37792854,19594,1247148,1071375,18543026,4988,3255818,988878,12,3931,11826,29780153,64455,19290898,14163588,0,0,57585673,772052,37063500,19654,1208400,826481,18836034,4988,3323168,962360,47,3925,11924,29123847,59627,19757832,14473923,0,0,61204118,701416,38267299,14511
"Bank of the West",4221508,849248,8505629,1788589,524776,262315,13,0,6164,22604656,2710116,9424737,13764034,4,0,23572963,494085,27551236,38458,2156427,737141,9561419,1624116,598135,198623,12,0,6268,22806949,2387237,9636277,13992903,1,0,23603626,489930,26847160,39253,3161972,846636,9709069,1489089,574128,96357,9,0,6281,22754671,2298483,9834223,14486852,2,0,23380120,485620,27221545,38961,3797642,778034,9495117,1202714,525030,0,0,0,6255,23412207,2317537,9951663,14848912,4,0,24054045,484329,28555283,38318,3788858,846543,9546037,1331147,515545,0,0,0,6191,24089357,2656837,10378797,14969928,7,0,24585250,487131,29480460,38808,4064560,731504,10326967,1494485,475974,0,0,0,6538,24399379,2392126,10762432,14956452,5,0,25313910,487803,29971010,41059,5516442,744242,10894459,1506879,456523,0,0,0,6470,25166569,2317123,11123128,15375962,11,0,25495937,490211,32002094,42566,5149786,828635,11750000,2320464,427997,0,0,0,6747,25964707,2263385,11421799,15716547,17,0,25697157,489403,34974514,44048,4946189,835009,11702770,2042210,394860,0,0,0,7039,26474943,2575191,11703857,15745418,25,0,26100092,485363,36115073,43465,5168099,733713,11625798,2006795,380835,0,0,0,6706,26764152,2288985,11789380,15754773,9,0,26358653,477646,36829057,45263
"USAA Federal Savings Bank",6306170,1399165,14540031,6671102,681148,906218,0,0,28390,9096210,0,0,35328149,0,0,45176816,2920192,10286554,906073,9983822,3478629,14370132,6786178,667529,830198,0,0,18833,9019642,0,0,35004838,0,0,47508319,2893243,11051296,893839,8483992,3358737,14159804,6773292,653677,772737,0,0,50998,8712383,0,0,36287300,0,0,46952697,2910935,10755099,894065,8293876,3484201,14297432,6650037,645071,737536,0,0,21633,8585835,0,0,37112971,0,0,46942074,2910010,11114501,922108,8065641,898973,14652228,6570776,639764,715765,0,0,20491,8591278,0,0,38125124,0,0,48142730,2931845,10844164,924503,12291039,4062221,15639363,6271029,628923,608097,0,0,17579,7692468,0,0,37837414,0,0,51338256,2932777,11455220,929056,10830433,4270980,16005826,6242302,617919,554101,0,0,27567,8351618,0,0,38717896,0,0,51322912,2940332,11837734,918957,10675984,852483,16923434,6148773,579765,471190,0,0,29013,8238397,0,0,38851076,0,0,51101372,3036604,12329785,1016500,10236779,1053718,17931821,5929938,555345,379326,0,0,26135,7905140,0,0,39918669,0,0,52286809,3153467,12270108,1057163,14440309,838233,18995854,6032892,541145,272583,0,0,25440,7177379,0,0,39335845,1,0,55018495,3159560,13161772,1035564
"Comerica Bank",6112112,1092454,9735271,526210,22606,112350,4,50296,110026,14016973,48264,28661366,640379,172,67,16430109,521699,41914917,30900,6022474,1230200,9812286,533826,22845,677,3,46247,182311,14000935,48613,28636947,646750,0,12,17137672,510672,41216821,32051,5982364,1190516,9946070,732403,22795,677,3,46987,181166,14039382,66017,28863807,663133,1,19,16651274,499563,42430290,32304,7271127,1174172,10351445,929359,9169,668,3,44044,185309,14321955,62691,27887698,675764,1,24,16218172,490960,43365274,31635,6202538,1216983,12289588,2763164,8942,660,2,0,179486,14609271,90383,27443326,659974,1,96,18864579,478130,41844457,30730,3099951,1075357,12321740,2823456,8781,638,1,0,162058,14955101,67689,27713713,641833,1,27,17215406,465763,40047459,31702,4218694,1281467,12330532,2842887,7501,629,0,0,158062,15313632,72414,27690869,630989,8,27,17373594,460990,39956572,28404,8153448,1405834,12349586,2826230,7427,0,0,0,105163,15502463,50416,26534342,629278,11,28,18695955,452276,41654540,27466,7309747,1347336,12232989,2779267,6902,0,0,0,107438,15536300,50526,26638668,602596,11,30,19084594,440932,41576825,27119,8481921,1339086,12225631,2779487,5129,0,0,0,107397,15623333,55582,26424006,610400,1,2,18852000,430358,41984790,25995
"Bank of China",43667271,842066,17675,17675,502119,262315,0,0,9708,5389290,48264,7476326,9260081,4,0,8814249,2207,10348702,0,54348955,843496,17677,17677,667529,224795,0,0,17813,5362293,48613,7181780,9431607,0,0,7081052,1208,8613247,0,42877253,838950,117672,117672,551282,96357,0,0,9894,6187588,56229,8662937,9185955,1,0,8264075,2041,12995875,0,41933479,619201,111715,111715,645071,20738,0,0,21633,6996556,0,7959548,9929591,0,0,9180120,3718,14780068,0,46539742,838366,89908,89908,485635,660,0,0,20491,8096044,52610,9007147,14966978,0,0,7821683,3163,14789381,0,33905859,146818,440044,440044,87291,18172,0,0,23903,9199233,0,8751747,19394504,0,0,6948412,3201,18301857,0,38938250,288342,480289,480289,49017,629,0,0,48101,9104262,0,8294320,1528490,0,27,6361880,4003,10868172,0,26572845,97254,1081124,1081124,0,25100,0,0,5005,9397640,0,9747051,3384000,0,1577,12685700,6519,10904301,0,33693233,422744,1935274,1935274,0,0,0,0,4830,8500725,0,9884296,4157000,0,1577,13290314,5654,8805270,0,26646558,7451,2649259,2649259,0,34592,0,0,4835,8868687,0,10663003,4550000,1,0,14467276,4217,5463271,0
"Synchrony Bank",7288100,237238,270286,0,57316,0,0,0,44539,528,0,1133313,40810630,0,0,27527332,2514169,6547204,178931,9447054,321492,304122,0,55197,0,0,0,43598,518,0,1131738,39425005,0,0,27539975,1996515,7552388,188931,9703598,370239,638497,299680,53774,0,0,0,45063,509,0,1230859,42323535,0,0,29095342,2179006,9129832,207957,10038721,309184,1082110,750553,50334,0,0,0,46177,499,0,1203025,44838151,0,0,30571935,2326576,10270129,232041,11255843,321976,1063906,746723,48689,0,0,0,46828,927,0,1104742,49500032,0,0,31791168,3009025,13124519,235436,11853776,146818,1071983,749240,48039,0,0,0,47468,917,0,1131201,48411631,0,0,32746013,2591675,12228691,245161,11625670,142846,1207928,751153,49017,0,0,0,48101,469,0,1192929,51100045,0,0,33579282,2661900,13039788,264452,13070887,138258,1709736,900438,48605,0,0,0,50392,459,0,1183362,54169099,0,0,35898168,2874559,14405583,270648,9057005,422744,2843657,1825401,45682,0,0,0,35313,448,0,1143542,59497499,0,0,36864687,3320717,14312663,279671,11035636,189712,2981919,1924035,42864,0,0,0,39115,437,0,1169967,57720905,1,0,35065349,3941156,15540464,284763
"First Republic Bank",817150,277573,3072779,505047,3539877,24277,24277,0,1131,32268207,0,3048231,628573,0,5,9344798,334062,27503631,135070,1644534,327325,3689137,249990,3778875,24746,24746,0,840,33029177,0,3177049,652949,0,0,9656590,337381,29940788,131921,1367879,295985,3531201,0,4211680,22499,22499,0,999,34431585,0,3479088,840780,0,0,9826556,347409,31688781,139419,1795780,264517,3715929,0,4418560,20738,20738,0,1204,35464523,0,3651510,943349,0,0,10128709,378921,33834583,159181,1131110,282361,5602573,149391,4828789,19438,19438,0,679,36449467,0,4091304,964351,0,0,10493009,411969,36937176,187751,1946147,246894,5922771,0,5448782,18172,18172,0,945,37732420,0,3748979,1255837,0,0,10765722,446095,39572432,227520,1564057,288342,5655541,0,5921073,16074,16074,0,673,39469042,0,4157919,1528490,0,0,10813105,450643,39741639,237508,1386967,344954,6371054,111753,6419557,13568,13568,0,927,40813320,0,4907240,1701344,0,0,11255033,465816,43183008,253376,2107722,340158,8015445,111029,7127633,12389,12389,0,1948,42905074,0,4487574,1971270,0,0,11634857,464955,46329065,361481,2756385,321402,8359994,110761,7598980,10714,10714,0,2173,44335870,0,4480970,2175221,1,0,12350357,475264,48471481,254231
"Deutsche Bank Trust Company Americas",23920000,104000,0,0,0,0,0,0,0,5842500,0,2480000,129500,4000,2000,203000,7000,41469000,4000,17803500,137500,0,0,0,0,0,0,0,6033000,0,2723000,141500,300,4000,250000,7000,42191000,5000,14821000,186000,0,0,0,0,0,0,0,6151000,0,3103000,128000,1000,10000,303000,5000,42764000,5000,15066000,132000,0,0,0,0,0,0,0,6555000,0,3165000,129000,1000,18000,304000,7000,42447000,5000,11091000,111000,0,0,0,0,0,0,0,6635000,0,3407000,131000,1000,25000,305000,7000,40392000,8000,20673000,1265000,0,0,0,0,0,0,0,7006000,0,3227000,113000,0,11000,3e+05,8000,39013000,11000,26165000,1264000,0,0,0,0,0,0,0,7214000,0,3189000,124000,0,15000,280000,8000,41742000,4000,27498000,1585000,0,0,0,0,0,0,0,6601000,0,2173000,109000,0,19000,273000,8000,43029000,4000,31848000,1525000,0,0,0,0,0,0,0,6102000,0,1942000,119000,0,21000,266000,7000,41973000,2000,26119000,445000,0,0,0,0,0,0,0,5797000,0,1621000,119000,0,5000,253000,9000,37524000,2000
"UBS Bank USA",6531192,624,4987561,945594,0,184032,0,112154,0,7706719,0,5862309,20391783,0,0,28116347,11229208,4458407,6811,5596841,579,4973719,1052605,0,237905,0,268328,0,7877300,0,6081601,20507354,0,0,28050295,11036877,4621495,9010,2008036,651,4890745,1160606,0,0,0,428169,0,8233842,0,6185808,21573043,0,27,27408257,11043257,4366627,8850,3264993,1070,4687802,1137660,0,0,0,512140,0,8155401,0,6098436,21674252,0,328,28284373,12047286,4586126,9048,4911475,1856,4608756,1226141,0,0,0,515434,0,8407020,0,6141760,22432391,0,790,30532345,11953217,5092319,9394,6808369,979,4897514,1591143,0,0,0,447761,0,8726838,0,6098179,22323402,0,140,31639505,13170693,5328398,7311,4347943,114053,5264573,1933048,0,0,0,399217,0,8984018,0,6246531,22955646,0,1127,31068109,13066688,4921609,1431,7763090,97254,5758677,2428359,0,0,0,398432,5005,9759697,0,6242155,23010275,0,1577,31924268,12749037,5472167,1271,8810918,1751,6194845,2881283,0,0,0,0,4830,10111670,0,5723021,23174288,0,1577,33154094,12642473,5889735,1021,7493104,1996,6693343,3169711,0,0,0,0,4835,10399722,0,5694263,22592023,1,0,32576599,12141900,5696774,1786
"American Express Bank,  FSB.",4404665,5007,75260,0,63758,370649,0,0,23888,0,0,19690851,19983687,0,0,18735328,465972,11434050,0,8019205,4104,70480,0,60229,357657,0,0,24044,0,0,20239434,18649652,0,0,18840668,470906,15223050,0,7824748,5876,64175,0,60396,345225,0,0,23735,0,0,20764852,19398559,0,0,18743975,651361,14332692,0,8454375,4574,62460,0,53411,259871,0,0,23855,0,0,21079821,20694989,0,0,19826005,651925,14764128,0,7571751,5765,73641,0,71107,252741,0,0,23605,0,0,21505212,22570100,0,0,21222794,1366405,15468564,0,10030531,5711,77252,0,87291,236685,0,0,23903,0,0,21758217,19394504,0,0,21653164,1238143,16317625,0,16875705,11764,73879,0,95298,187969,0,0,24010,0,0,20345452,11901478,0,0,21127004,730435,16200552,0,7930450,9510,76033,0,83898,184502,0,0,23927,0,0,20724872,11953615,0,0,20487409,590743,14567385,0,8291729,5655,68741,997,74725,254181,0,0,23260,0,0,21591432,14060885,0,0,20244118,616595,16842316,0,12140458,7451,66938,1000,73861,286240,0,0,23224,0,0,22191220,12778801,0,0,20572547,702060,17449504,0
"New York Community Bank",242366,143704,5873801,0,59624,161812,0,0,138970,32065840,0,594540,12747,0,1808,17636710,983397,8319651,44287,282706,141348,5813224,0,59316,151057,0,0,142257,31883279,0,554883,3207,0,447,17780172,974006,9350697,45358,277978,146495,5716919,0,72780,146876,0,0,139176,32325730,0,589996,3278,0,921,17338567,952119,11524411,45219,281985,147490,5663229,0,78064,146245,0,0,137616,32779917,0,635279,3079,0,1384,17244106,944987,11762126,44428,239768,131976,5240546,0,76111,146246,0,0,139946,34311488,0,636009,3107,0,1923,17037981,909163,11667662,41023,311689,131133,3456076,0,75219,144307,0,0,141873,34716431,0,647659,2904,0,559,17098454,896050,12173149,41042,370655,131094,3229516,0,74601,144395,0,0,143914,35315458,0,708670,2928,0,1277,16843098,884174,11751325,40075,461788,135753,3074726,0,72986,144727,0,0,142804,35770850,0,797239,2864,0,2024,16988679,872193,11583522,41379,258457,130451,3165606,200293,72184,145150,0,0,86425,35325637,0,835134,2835,0,2860,16915884,847577,11191045,41729,684855,128831,3116158,200158,71928,145511,0,0,32218,35074561,0,834026,2484,0,884,17087171,850018,10557194,45613
"Silicon Valley Bank",1680545,380433,20850150,7282176,83942,0,0,0,6122,1834668,2410,8585435,26705,0,25,1219910,0,29763944,0,1044043,360441,21458358,7893817,83278,0,0,0,5122,1940017,1007,8380297,31094,0,6,1259389,0,30790648,0,2267164,334536,22130895,8981705,76554,0,0,0,5123,2097208,1317,8427711,37861,0,15,1340480,0,32377399,0,1433200,382472,23513535,10176686,75635,0,0,0,5123,2208609,2107,8861683,46032,0,23,1463633,0,33653709,0,1356668,466353,25078522,11657902,67587,0,0,0,5124,2313682,1620,9342335,52563,0,39,1467540,0,35675042,0,1540809,299451,22790518,9934016,62218,0,0,0,5125,2423317,359,9371557,53015,0,31,1639737,0,35365865,0,1509812,334198,21179473,8956720,58284,0,0,0,5128,2507997,1241,9643337,68167,0,74,1742154,0,34120131,0,2326161,302621,20379839,8919356,54815,0,0,0,5131,2623544,2269,9458302,69952,0,142,1515268,0,34888608,0,2458720,605304,20939939,8889366,81748,0,0,0,5134,2713225,2567,10051639,62667,0,225,1658027,0,35457908,0,3587775,404404,20837129,8186000,138289,0,0,0,4689,2796393,643,9747282,54157,0,113,1790866,0,37587377,0
"Morgan Stanley Private Bank, National Association",5638000,2000,1749000,2000,0,1165000,0,11000,0,16971000,0,586000,68000,0,0,15183000,6215000,1875000,32000,3241000,2000,4685000,3013000,0,1177000,0,3000,0,18216000,0,544000,68000,0,0,16097000,6413000,2139000,36000,6325000,3000,2583000,1004000,0,1077000,0,1000,0,19689000,0,413000,78000,0,0,16862000,6859000,2549000,61000,8638000,5000,3099000,1617000,0,1072000,0,1000,0,21066000,0,567000,662000,0,0,19386000,9057000,2871000,197000,9429000,2000,4375000,2950000,0,995000,0,1000,0,22321000,0,820000,1354000,0,0,22734000,9004000,4345000,187000,4859000,2000,7006000,4823000,0,996000,0,1000,0,23377000,0,982000,1921000,0,0,22926000,9094000,4394000,186000,3449000,3000,9267000,5832000,0,1162000,0,1000,0,24411000,0,1137000,2620000,0,0,23858000,9977000,5481000,175000,5385000,31000,9506000,6256000,0,1394000,0,0,0,25548000,0,1405000,3384000,0,0,26219000,13077000,5420000,360000,3341000,5000,8624000,6317000,0,1565000,0,0,0,26599000,0,1549000,4157000,0,0,26654000,12812000,5880000,383000,3492000,1000,7399000,5523000,0,1529000,0,0,0,27440000,0,1714000,4550000,0,0,26973000,12199000,5786000,364000
"City National Bank",463198,337664,7827792,116926,1163341,149588,24014,136826,1990,10681424,414,6733554,846046,262,6339,5908425,65716,22474126,6109,775412,434950,7201306,115907,1147014,88644,22810,159120,4,11133168,567,6511202,861360,54,1241,6052023,64501,22723067,7499,1144789,435149,6782668,148308,1150915,71262,21731,333629,0,11476979,576,6796849,961756,111,2375,6086491,62565,23637373,7754,1864595,435214,6933578,390329,1131999,69698,20431,658677,0,11819869,548,7071399,892505,166,3579,6147160,60897,25268961,9018,571479,353892,7401596,498342,1119368,68449,19486,905329,0,12296026,558,7355653,987458,214,4809,6103526,59499,24595175,9820,3751094,452049,8011840,829190,1054598,67082,18370,980981,0,12828636,600,7568393,963334,107,911,9281743,58845,26892589,10234,2136451,463583,9579004,897725,1092349,55797,17306,1132788,0,13350442,674,8056959,1015983,148,1866,10452568,57356,27176124,10970,3023052,456339,11671307,979029,1217203,41737,16497,1106202,0,13899407,616,8089451,1025327,205,2876,11433837,55914,29300145,11187,2598821,369736,12889604,1027258,1287675,40335,15239,59516,0,14425174,534,8424932,1032328,308,3966,11296023,55201,29749000,11983,2524740,416897,12075561,826343,1264364,34592,14674,24491,10045,15262195,418,8594688,910587,246,1096,11544624,54452,29488313,11823
"E*TRADE Bank",1704519,134847,24548285,0,39838,14620,0,0,560504,5922500,0,1150,460530,0,0,13845482,6406665,3377888,511397,1617138,383659,26274127,0,36389,14675,0,0,32920,5635174,0,980,431439,0,0,14383077,6323698,4326429,515305,2312104,197433,26074072,0,35896,14744,0,0,171496,5292445,0,671,399777,0,0,14082845,6510099,4465116,550321,800985,9833,22183273,0,35623,14675,0,0,32798,4912258,0,607,369795,0,0,13666746,6408267,4419029,547719,1654249,25169,25519644,142823,34805,14703,0,0,32435,4622045,0,376,344596,0,0,15888561,6522762,5185455,573192,923577,20112,28890902,293029,34766,14359,0,0,32889,4361722,0,306,320487,0,0,17978424,7667910,4765357,90968,1548271,18237,29529015,311824,34515,14620,0,0,33101,4086355,0,56,295080,0,0,18676571,8293298,4563256,103794,727766,20784,29610886,311459,33408,4833,0,0,32950,3793790,0,0,273410,0,0,17705306,7273081,5279964,97783,1094195,23788,29603685,406636,32266,0,0,0,6954,3518863,0,0,252658,0,0,17571874,7091039,5579214,98854,375294,29027,36917642,280284,31595,3500,0,0,6954,3267254,0,0,233357,0,0,21579791,9118289,5262595,71461
"Citizens Bank of Pennsylvania",1915651,1470253,8102410,0,9939,1449711,1449711,0,0,10180435,0,5413668,1775169,115,13,14419173,722383,11234557,21587,2919319,1807880,7682774,0,9747,1405162,1405162,0,0,10430736,0,5309563,2228901,171,0,14776245,706693,12710666,22200,2568869,2002911,7532808,0,9248,1337659,1337659,0,0,10531425,0,5275018,2618949,441,0,14989988,712095,13147150,21245,1810498,1568593,7815162,0,9252,1277271,1277271,0,0,10591424,0,5450097,2819882,785,0,14682571,716055,13435462,23605,3179758,2810471,7457815,0,8946,1232981,1232981,0,0,10815383,0,5342409,3078281,1312,0,14900626,666039,12774796,24200,3905296,3626237,7339720,0,8842,1193388,1193388,0,0,10554504,0,5611019,3279417,181,0,15254109,627312,13162693,26668,2412538,1911902,8394036,0,8616,1128913,1128913,0,0,10337677,0,5866718,3520825,305,0,15048891,651238,13714769,30066,2223000,1968999,9132805,0,8312,1073980,1073980,0,0,10385242,0,5816777,3526631,535,0,15039506,575680,14047774,30679,3204760,2749500,9039622,0,7606,1005177,1005177,0,0,10285056,0,5987603,3740879,712,63,16315588,665703,13141347,31930,2437538,2082179,8823144,0,6988,972816,972816,0,0,10024188,0,5957976,3824926,202,132,16884457,593034,12724017,29996
"Signature Bank",544989,423755,6995534,11543,5837,1283062,436504,0,38417,14578840,16181,3922903,168616,0,73,3612989,19497,19967351,2428,513614,403982,7125571,5050,332,1262380,442357,0,40424,15878554,0,3614698,156123,0,10,3538522,9396,21450043,1613,470004,321255,7070583,6045,332,1257026,465463,0,40443,17027984,0,3896759,155491,0,20,3533365,8579,21847832,1243,528039,419238,7092724,6561,331,1246498,467367,0,41278,18644588,0,4105245,156052,0,31,3636179,8203,23859510,958,579412,463594,7092574,6510,10167,1187025,429528,0,42520,19931279,0,4205631,170012,0,54,3714504,7566,24035472,1439,565140,452938,7353614,6551,9998,1188722,447046,0,42301,21087148,0,4268678,155681,0,38,3915675,7468,25114883,684,511108,406247,7261290,6572,9654,1125640,420439,0,49140,22550474,0,4517676,170175,0,53,4025796,8275,26446847,971,964377,839228,7147752,6551,9311,1098484,398747,0,51006,23569194,0,4553871,188497,0,67,4191901,9861,28294846,1224,819942,589041,7179589,6518,8619,1099345,387449,0,53032,24695764,0,4644387,199631,0,96,4185087,8833,28863364,1227,1012617,868237,7388155,9524,8264,1110696,398026,0,52280,25611902,0,4431337,192819,0,54,4375473,8945,29589301,1601
"American Express Centurion Bank",12075824,3382,63052,0,37046,564117,0,0,24006,0,0,111596,21364979,0,0,9643234,2958380,707289,0,10181637,2481,58415,0,40562,569539,0,0,24156,0,0,134027,19726181,0,0,9648483,2942476,475401,0,7946472,3754,58311,0,60654,543192,0,0,23845,0,0,136263,20258765,0,0,11709130,2891080,458376,0,5693051,3729,54018,0,56510,420467,0,0,23956,0,0,142953,22802682,0,0,12412478,2879935,495444,0,9134792,2044,49495,0,56213,402816,0,0,23707,0,0,167199,26021364,0,0,15484776,2539684,741566,0,9400329,1710,46794,0,54545,409861,0,0,24002,0,0,154204,24606092,0,0,15118332,2528889,710729,0,11170821,629,44068,0,55899,509625,0,0,24106,0,0,154624,24792189,0,0,14836921,2649858,674014,0,12323233,693,43789,0,49460,509254,0,0,24025,0,0,154237,24761109,0,0,14565177,2441523,476593,0,8861067,821,40382,1002,44913,407156,0,0,23363,0,0,159510,26341975,0,0,13937888,2574518,825441,0,10862033,704,37461,1002,42252,495652,0,0,23324,0,0,159447,21884936,0,0,13911008,2708360,708666,0
"East West Bank",1295628,474623,2117602,873435,250448,183027,53917,39318,20086,13656932,12923,7076793,51844,0,20324,8980538,210900,14040232,7389,2096673,431700,2407278,1172227,191246,141578,51501,64338,27971,13907871,12320,6661030,46277,0,4858,9017434,211610,15207697,7419,2099176,430859,2502551,1200111,206422,152694,61907,80730,31028,14102982,27671,6943400,44955,0,9547,8959673,211501,15435565,7571,2130831,407299,2482433,752605,206825,157422,66537,65279,31717,14567948,24562,7257609,73872,0,13966,9021019,210055,16701813,7307,1661078,462388,3116463,998515,175649,351468,62393,89795,31120,14964581,37544,7471709,80496,0,19831,8995625,207447,17227792,7786,2568374,407139,2567194,516755,159426,508080,59899,90298,31699,15275867,26260,7297365,76934,0,6680,10338136,208437,16983925,7995,1817639,362266,2559741,488560,153903,504601,55975,140355,32002,15323662,52754,7662893,82538,0,14654,10033374,208338,16925833,7622,1988968,359324,2361435,456448,152293,498183,52957,337434,31939,15645532,103011,7547457,89289,0,22492,10188565,205437,17007227,7726,2184665,468680,2520891,720479,147654,386998,11477,383894,30991,16116169,91165,7843556,87876,0,30596,10386167,201917,18018327,7956,2660062,352542,2325999,700860,147069,154665,10729,425868,31076,16788596,68802,8236291,73469,0,9526,10396267,202532,18703974,7780
"BOKF, National Association",2513379,607579,8732247,1005,673832,175200,165956,250,18957,6875676,77091,6120912,399237,4179,11,5903440,417565,16308450,97371,2667480,561305,8916959,1001,655024,169199,160030,250,19421,7297274,70333,6241770,393867,2149,3,6028126,410995,16146257,94485,2674949,570725,8772681,1000,649585,158313,154149,250,18395,7529299,57342,6381636,389920,4602,7,5967965,401473,16085686,94365,2349027,526906,8584570,1003,634862,149844,145681,250,18011,7638085,38330,6305361,398068,7219,11,5868678,391473,15627671,97115,2651968,603152,8831975,995,620992,143282,139118,250,17845,7759880,47420,6626978,418727,9881,15,5947085,377038,16083143,81016,2333387,521862,8685297,1003,595167,137194,133030,250,18199,7933249,40677,6605191,418206,2798,5,5878476,355495,15445662,68801,2442564,561344,8636967,1004,580986,130477,126313,250,18367,8421671,33827,6580398,459864,5166,9,5854205,330543,15989233,89812,2614913,581617,8678335,1002,560145,125767,121603,250,18143,8639868,19355,6376533,389709,9371,20,5796793,322565,16393821,61781,2386717,668129,8486756,999,560123,119700,115535,250,17628,8602221,13537,6255253,432958,13970,29,6067111,313317,17032645,58004,2912963,706093,8270321,999,529339,112792,108626,250,18134,8945154,15441,6465281,441363,0,6,6320777,298009,16965563,54114
